\begin{table}
\begin{tabular}{ccccc}
Name & z & ra & dec & kind \\
J0847+3732 & 0.4534 & 131.816817 & 37.5382934 & 0 \\
J0852+2004 & 0.4615 & 133.1542374 & 20.0697063 & 0 \\
J0928+6025 & 0.2959 & 142.1582405 & 60.4224843 & 0 \\
J1112+1813 & 0.1952 & 168.1287589 & 18.2197985 & 0 \\
J1229-0035 & 0.4498 & 187.2896753 & -0.5917407 & 0 \\
J1345+1144 & 0.1264 & 206.4520522 & 11.7453871 & 0 \\
J1410+3643 & 0.4495 & 212.5857431 & 36.722997 & 0 \\
J1537+0055 & 0.1365 & 234.2748051 & 0.9229983 & 0 \\
003516.88-104731.2 & 0.7967 & 8.820333333333332 & -10.792 & 1 \\
005838.95-102651.3 & 0.4898 & 14.662291666666667 & -10.447583333333334 & 1 \\
013203.46-093153.6 & 0.1898 & 23.014416666666662 & -9.531555555555556 & 1 \\
083158.49+503444.1 & 0.5308 & 127.99370833333334 & 50.57891666666667 & 1 \\
083417.90+491439.2 & 0.1731 & 128.5745833333333 & 49.24422222222222 & 1 \\
090133.42+031412.4 & 0.4586 & 135.38925 & 3.2367777777777778 & 1 \\
091501.71+241812.1 & 0.844 & 138.75712499999997 & 24.303361111111112 & 1 \\
093027.21+240232.7 & 0.5592 & 142.613375 & 24.042416666666668 & 1 \\
102434.71+555626.4 & 0.1968 & 156.144625 & 55.940666666666665 & 1 \\
104133.43-000236.3 & 0.2355 & 160.38929166666665 & -0.043416666666666666 & 1 \\
111800.12+233651.5 & 0.3814 & 169.5005 & 23.614305555555557 & 1 \\
114744.11-014601.5 & 0.5531 & 176.93379166666665 & -1.7670833333333333 & 1 \\
121114.56+365739.5 & 0.1709 & 182.81066666666663 & 36.960972222222225 & 1 \\
121118.66+143810.4 & 0.5804 & 182.82774999999998 & 14.636222222222221 & 1 \\
144825.09+355946.6 & 0.1131 & 222.10454166666665 & 35.99627777777778 & 1 \\
160545.92+532210.8 & 0.1704 & 241.44133333333326 & 53.36966666666667 & 1 \\
204956.61-001201.7 & 0.3693 & 312.48587499999996 & -0.20047222222222225 & 1 \\
210927.29-061015.1 & 0.5724 & 317.3637083333333 & -6.170861111111112 & 1 \\
213026.74-070320.6 & 0.1841 & 322.6114166666666 & -7.055722222222222 & 1 \\
214000.49+120914.6 & 0.7518 & 325.0020416666666 & 12.154055555555557 & 1 \\
\end{tabular}
\end{table}
