\begin{table}
\begin{tabular}{cccccccc}
Name & ID & Net Asym & Net SAsym & Net GM20 & Sub Asym & Sub SAsym & Sub GM20 \\
003516.88-104731.2 & 2 & 0.1324 & 0.0828 & -0.0929 & 0.2006 & 0.3906 & -0.0063 \\
005838.95-102651.3 & 3 & 0.1116 & 0.0787 & -0.0618 & 0.1229 & 0.2209 & 0.0037 \\
083158.49+503444.1 & 14 & 0.1014 & 0.2948 & -0.0752 & 0.1635 & 0.6111 & -0.0299 \\
093027.21+240232.7 & 25 & 0.1296 & 0.3018 & -0.0053 & 0.1211 & 0.3863 & -0.0536 \\
111800.12+233651.5 & 40 & 0.085 & 0.0496 & -0.0594 & 0.1219 & 0.2882 & -0.0253 \\
114744.11-014601.5 & 44 & 0.1314 & 0.1659 & -0.0682 & 0.2705 & 0.4579 & 0.037 \\
121118.66+143810.4 & 48 & 0.1096 & 0.1225 & -0.0762 & 0.0971 & 0.2883 & 0.0013 \\
210927.29-061015.1 & 85 & 0.0791 & 0.0753 & -0.0544 & 0.0518 & 0.2667 & -0.0214 \\
\end{tabular}
\end{table}
